Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Germany,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1991-01-01,686.311,736.883,42.517,NA,NA,NA,-50.572,-8.055
Germany,1992-01-01,761.026,805.365,52.62,NA,NA,NA,-44.339000000000055,8.280999999999942
Germany,1993-01-01,790.261,844.45,55.596,NA,NA,NA,-54.18900000000008,1.4069999999999183
Germany,1994-01-01,837.075,883.25,60.627,NA,NA,NA,-46.174999999999955,14.452000000000048
Germany,1995-01-01,870.238,1049.528,66.581,1040.2,NA,NA,-179.28999999999996,-112.70899999999996
Germany,1996-01-01,885.563,955.732,66.769,1110.4,0.1,6.4189401,-70.16899999999998,-3.3999999999999773
Germany,1997-01-01,899.509,959.06,66.801,1154.5,-15.5,6.0157175,-59.55099999999993,7.250000000000071
Germany,1998-01-01,923.01,976.592,67.765,1199.3,-8.8,5.8698358,-53.581999999999994,14.183000000000007
Germany,1999-01-01,968.416,1007.187,64.274,1243.7,5.6,5.3593863,-38.77099999999996,25.503000000000043
Germany,2000-01-01,986.936,1023.445,67.54,1251.5,-28.6,5.4307168,-36.509000000000015,31.03099999999999
Germany,2001-01-01,977.627,1046.229,66.201,1264.3,-55.9,5.2896034,-68.60200000000009,-2.4010000000000957
Germany,2002-01-01,981.788,1072.638,66.135,1317.7,-37.4,5.2310948,-90.84999999999991,-24.714999999999904
Germany,2003-01-01,1001.289,1087.101,65.075,1405.2,1.7,4.9386057,-85.81200000000013,-20.737000000000123
Germany,2004-01-01,998.635,1077.08,63.816,1475.2,-8.5,4.541435,-78.44499999999994,-14.628999999999934
Germany,2005-01-01,1011.597,1089.993,63.494,1545.7,-7.9,4.3041434,-78.39599999999996,-14.901999999999958
Germany,2006-01-01,1056.69,1099.274,65.218,1595.3,7.1,4.2194014,-42.58399999999983,22.63400000000017
Germany,2007-01-01,1110.816,1106.879,67.686,1603.7,12.3,4.2428078,3.9370000000001255,71.62300000000013
Germany,2008-01-01,1143.471,1150.28,69.096,1672.6,62.1,4.3086195,-6.808999999999969,62.287000000000035
Germany,2009-01-01,1125.612,1204.819,65.189,1789.2,37.4,3.8975203,-79.20699999999988,-14.017999999999887
Germany,2010-01-01,1143.087,1258.707,63.851,2102.7,197.8,3.5686634,-115.62000000000012,-51.76900000000012
Germany,2011-01-01,1220.989,1244.063,67.98,2139.1,13.4,3.2330288,-23.07400000000007,44.905999999999935
Germany,2012-01-01,1260.986,1262.507,64.185,2216.7,76,3.000492,-1.5209999999999582,62.664000000000044
Germany,2013-01-01,1298.112,1294.6,51.902,2201.9,-11.3,2.3414036,3.512000000000171,55.41400000000017
Germany,2014-01-01,1350.164,1328.332,47.547,2203.7,23.7,2.159345,21.83199999999988,69.37899999999988
Germany,2015-01-01,1401.532,1373.293,42.913,2177.2,1.7,1.9472782,28.239000000000033,71.15200000000003
Germany,2016-01-01,1465.493,1429.256,37.888,2161.6,20.6,1.7401922,36.23699999999985,74.12499999999986
Germany,2017-01-01,1529.123,1484.552,34.489,2130.3,13.3,1.5955676,44.57100000000014,79.06000000000014
Germany,2018-01-01,1597.996,1533.328,31.787,2083.7,18,1.4921204,64.66800000000012,96.45500000000013
Germany,2019-01-01,1657.565,1610.615,28.052,2069.9,33.2,1.346275,46.950000000000045,75.00200000000004
Germany,2020-01-01,1612.652,1763.784,22.39,2347,125.9,1.0817004,-151.13200000000006,-128.74200000000008
Germany,2021-01-01,1747.866,1864.302,21.734,2502.8,39.4,0.9260512,-116.43599999999992,-94.70199999999991
Germany,2022-01-01,1852.59,1937.465,27.871,2569.9,-17.8,1.113585,-84.875,-57.004000000000005
Germany,2023-01-01,1917.448,2024.97,36.567,2631.8,-45.6,1.4228975,-107.52199999999993,-70.95499999999993
Germany,2024-01-01,2012.341,2105.752,44.74021,2710.2,-15,1.7,-93.41100000000006,-48.67079000000006
Germany,2025-01-01,2091.927,2178.782,47.42829,2802,5,1.75,-86.85500000000002,-39.42671000000002
Germany,2026-01-01,2168.105,2248.633,50.43677,2887.6,5,1.8,-80.52799999999979,-30.09122999999979
